property id,property code,is active,postal address,postal city,postal state,postal zip code,postal country,property name,acquire date,dispose date,inactive date,is commercial,is international,property last closed period,database id
3351,xnj121hi,False,,Woolwich Township,NJ,8085.0,US,121 High Hill Road-Unit B,,,3/31/23,True,False,6/1/25,1
3302,xnj121mo,True,,Moonachie,NJ,7074.0,US,121 Moonachie Ave,,,,True,False,6/1/25,1
1878,xnj125al,True,,Whippany,NJ,7981.0,US,125 Algonquin Parkway,12/17/21,,,True,False,6/1/25,1
1882,xnj128ba,True,,Oakland,NJ,7436.0,US,128 Bauer Drive,12/17/21,,,True,False,6/1/25,1
1879,xnj145al,True,,Whippany,NJ,7981.0,US,145 Algonquin Parkway,12/17/21,,,True,False,6/1/25,1
1898,xnj14rol,True,,Mount Laurel,NJ,19130.0,US,14 Roland Avenue,,,,True,False,6/1/25,1
1785,xnj14th,True,,Hamilton,NJ,8619.0,US,14-16 Thomas J Rhodes,,,,True,False,6/1/25,1
1880,xnj156al,True,,Whippany,NJ,7981.0,US,156 Algonquin Parkway,12/17/21,,,True,False,6/1/25,1
1904,xnj1601s,True,,Pennsauken,NJ,8110.0,US,1601-1641 Sherman Avenue,,,,True,False,6/1/25,1
1876,xnj17pol,True,,Fairlawn,NJ,7410.0,US,17-01 Pollitt Drive,12/17/21,,,True,False,6/1/25,1
3728,xnj1803u,True,,Delran,NJ,8075.0,US,1803 Underwood Boulevard,,,,True,False,6/1/25,1
3795,xnj1980o,True,,Cherry Hill,NJ,8034.0,US,1980 Old Cuthbert Road,,,,True,False,6/1/25,1
3642,xnj19ind,True,,Mahwah,NJ,7430.0,US,19 Industrial Avenue,,,,True,False,6/1/25,1
1877,xnj19nev,True,,Fairlawn,NJ,7410.0,US,19-05 Nevins Road,12/17/21,,,True,False,6/1/25,1
2989,xnj200ri,True,,Millstone,NJ,8535.0,US,200 Rike Drive,,,,True,False,6/1/25,1
1388,xnj2036b,True,,Mount Laurel,NJ,8054.0,US,2036 Briggs Road,,,,True,False,6/1/25,1
3388,xnj2050h,True,,Burlington,NJ,8016.0,US,20-50 Harkins Drive,,,,True,False,6/1/25,1
2987,xnj2075h,True,,Logan Township,NJ,8085.0,US,2075 High Hill Road,,,,True,False,6/1/25,1
1787,xnj220r,True,,Medford,NJ,8055.0,US,220 Route 70,,,,True,False,6/1/25,1
1387,xnj3001i,True,,Mount Laurel,NJ,8054.0,US,3001 Irwin Road,,,,True,False,6/1/25,1
1881,xnj30les,True,,Whippany,NJ,7981.0,US,30 Leslie Court,12/17/21,,,True,False,6/1/25,1
1677,xnj313c,True,,Swedesboro,NJ,19130.0,US,313 Church Street,,,,True,False,6/1/25,1
1695,xnj390n,True,,Moorestown,NJ,19102.0,US,390 New Albany Road,,,,True,False,6/1/25,1
3272,xnj400wa,True,,Gloucester City,NJ,8030.0,US,400 Water Street,,,,True,False,6/1/25,1
1884,xnj40pot,True,,Oakland,NJ,7436.0,US,40 Potash Road,12/17/21,,,True,False,6/1/25,1
1676,xnj420be,False,,Bellmawr,NJ,8031.0,US,420 Benigno Boulevard,,,,True,False,6/1/25,1
1675,xnj440be,False,,Bellmawr,NJ,8031.0,US,440 Benigno Boulevard,,,,True,False,6/1/25,1
1678,xnj52col,True,,Blackwood,NJ,19102.0,US,52 Coles Road,,,,True,False,6/1/25,1
3637,xnj59cha,True,,Somerville,NJ,8876.0,US,59 Chambers Brook Road,,,,True,False,6/1/25,1
1883,xnj5thor,True,,Oakland,NJ,7436.0,US,5 Thornton Road,12/17/21,,,True,False,6/1/25,1
1389,xnj6000i,True,,Mount Laurel,NJ,8054.0,US,6000 Irwin Road,,,,True,False,6/1/25,1
3667,xnj6900r,True,,Pennsauken,NJ,8110.0,US,6900 River Road,,,,True,False,6/1/25,1
3374,xnj6925s,True,,Pennsauken,NJ,7307.0,US,6925 Sherman Ave,,,,True,False,6/1/25,1
1674,xnj6965,True,,Pennsauken,NJ,8109.0,US,6965 Airport Highway Lane,,,,True,False,6/1/25,1
3652,xnj70cat,True,,Florence,NJ,8016.0,US,70 Cathy Lane,,,,True,False,6/1/25,1
1887,xnj740co,True,,Delanco,NJ,8075.0,US,740 Coopertown Road,,,,True,False,6/1/25,1
1668,xnj7550,True,,Pennsauken,NJ,8110.0,US,7550 North Crescent Boulevard,,,,True,False,6/1/25,1
1682,xnj845l,True,,Moorestown,NJ,8057.0,US,845 Lancer Drive,,,,True,False,6/1/25,1
1673,xnj900k,False,,Somerdale,NJ,8083.0,US,900 Kennedy Boulevard,,,,True,False,6/1/25,1
2994,xnj9100p,True,,Pennsauken,NJ,8110.0,US,9100 Pennsauken Highway,,,,True,False,6/1/25,1
1885,xnj95bau,True,,Oakland,NJ,7436.0,US,95 Bauer Drive,12/17/21,,,True,False,6/1/25,1
1655,xnjcentr,True,,Pennsauken,NJ,8109.0,US,7055 W Central Highway,,,,True,False,6/1/25,1
1599,xnjmorri,False,,Maple Shade,NJ,8052.0,US,14 Morris,,,10/9/24,True,False,6/1/25,1
1588,xnjmway0,True,,Hainesport,NJ,8036.0,US,Mary Way Road,,,,True,False,6/1/25,1
1584,xnjmway3,True,,Hainesport,NJ,8036.0,US,3 Mary Way,,,,True,False,6/1/25,1
1585,xnjmway5,True,,Hainesport,NJ,8036.0,US,5 Mary Way,,,,True,False,6/1/25,1
1586,xnjmway7,True,,Hainesport,NJ,8036.0,US,7 Mary Way,,,,True,False,6/1/25,1
1587,xnjmway9,True,,Hainesport,NJ,8036.0,US,9 Mary Way,,,,True,False,6/1/25,1
1589,xnjmwayr,True,,Hainesport,NJ,8036.0,US,1359 Route 38,,,,True,False,6/1/25,1
3671,xoh154co,True,,Loveland,OH,45140.0,US,154 Commerce Blvd,,,,True,False,6/1/25,1
1786,xoh382c,True,,Cincinnati,OH,45246.0,US,382 Circle Freeway Drive,,,,True,False,6/1/25,1
1755,xoh8655,True,,Fairfield,OH,45011.0,US,8655 Seward Road,,,,True,False,6/1/25,1
2724,xohcolu1,True,,Columbus,OH,43219.0,US,3000 – 3004 E 14th Avenue,,,,True,False,6/1/25,1
2725,xohcolu2,True,,Columbus,OH,43219.0,US,3045 – 3065 Switzer Avenue,,,,True,False,6/1/25,1
2726,xohcolu3,True,,Columbus,OH,43219.0,US,3040 – 3050 E 14th Avenue,,,,True,False,6/1/25,1
2727,xohcolu4,True,,Columbus,OH,43219.0,US,1149 – 1161 Rarig Avenue,,,,True,False,6/1/25,1
1654,xohcomme,True,,"West Chester, Butler County",OH,5246.0,US,10021 Commerce Park Drive,,,,True,False,6/1/25,1
1383,xohmost,True,,Sharonville,OH,45241.0,US,12080 Mosteller Road,,,,True,False,6/1/25,1
1756,xpa12111,True,,Bensalem,PA,19020.0,US,1211 Ford Road,,,,True,False,6/1/25,1
2958,xpa18rai,True,,Royersford,PA,19468.0,US,18 Railroad Street,,,,True,False,6/1/25,1
1667,xpa1peae,True,,Bristol,PA,19007.0,US,1 Pearl Buck Court,,,,True,False,6/1/25,1
3641,xpa3041m,True,,Bensalem,PA,19020.0,US,3041 Marwin Road,,,,True,False,6/1/25,1
1757,xpa327c,False,,Philadelphia,PA,19120.0,US,327 East Chew Avenue,,,3/31/23,True,False,6/1/25,1
1758,xpa327cr,True,,Philadelphia,PA,19120.0,US,327 East Chew Avenue R,,,,True,False,6/1/25,1
3304,xpa4200m,True,,Philadelphia,PA,19124.0,US,4200 Macalester Street,,,,True,False,6/1/25,1
3306,xpa500ma,True,,Fort Washington,PA,19034.0,US,500 Maryland Avenue,,,,True,False,6/1/25,1
1656,xpastate,False,,Philadelphia,PA,19136.0,US,8800 State Road,,,12/1/23,True,False,6/1/25,1
1666,xtn187bo,False,,Jackson,TN,38301.0,US,187 Bobrick Drive,,,10/28/24,True,False,6/1/25,1
1658,xtn225bo,True,,Jackson,TN,38301.0,US,225 Bobrick Drive,,,,True,False,6/1/25,1
3364,xtn3961o,True,,Memphis,TN,38118.0,US,3961 Outland Road,,,,True,False,6/1/25,1
1790,xtnawg1,False,,Memphis,TN,38118.0,US,4641 Burbank Road,,,12/8/23,True,False,6/1/25,1
1791,xtnawg2,False,,Memphis,TN,38118.0,US,4690 Hungerford Road,,,9/29/23,True,False,6/1/25,1
1372,xtndelp1,True,,Memphis,TN,38118.0,US,4290 Delp Street,4/12/21,,,True,False,6/1/25,1
2952,xtndelp2,True,,Memphis,TN,38118.0,US,4319 Delp Street,,,,True,False,6/1/25,1
3622,xtx1050k,True,,Dallas,TX,75220.0,US,10501 King William Drive,,,,True,False,6/1/25,1
3307,xtx10704,True,,Dallas,TX,75220.0,US,10704 - 10710 Composite Drive,,,,True,False,6/1/25,1
3201,xtx111pl,True,,Dallas,TX,75238.0,US,11100 Plano Road,,,,True,False,6/1/25,1
1686,xtx1121,True,,Arlington,TX,76011.0,US,1121 108th Street,,,,True,False,6/1/25,1
3625,xtx11839,True,,Dallas,TX,75228.0,US,11839 Shiloh Rd,,,,True,False,6/1/25,1
1896,xtx12150,True,,Dallas,TX,75228.0,US,12150 Shiloh Road,,,,True,False,6/1/25,1
3389,xtx1709i,False,,Dallas,TX,1709.0,US,"I-45 Logistics Center, Hutchins",,,5/24/22,True,False,6/1/25,1
3575,xtx1709s,True,,Hutchins,TX,75141.0,US,I-45 Logistics Center,,,,True,False,6/1/25,1
3624,xtx1721s,True,,Arlington,TX,76010.0,US,1721 Susan Dr,,,,True,False,6/1/25,1
3204,xtx1919a,True,,Lubbock,TX,79404.0,US,1919 Avenue E,,,,True,False,6/1/25,1
2988,xtx2125v,True,,Irving,TX,75061.0,US,2125 Vanco Drive,,,,True,False,6/1/25,1
