Property Code,Unit Code,Last Updated,Office%,WH Lights,Office Lights,Elect. Panel,Sensors,Lights replaced by FP?,In unit meter,Submeter,Elec. Power VOLTS,Elec. Power AMPS,Elec. Connection,WH Heating,WH Conditioned ,WH Tonnage,Office Conditioned,Office Tonnage,HVAC Panel,Hazard usage,Hazard Materials ,Hazard Notes,# Drive ins ,# Dock Doord
"xil201ja",1080    ,"2024-10-03 00:00:00",36,"LED","LED","No","No","No","Yes","No",,,"3 Phase","Gas Heaters","No",,"Yes",,"No","No",,,,
"xil201ja",201     ,"2024-10-03 00:00:00",39,"LED","LED","No","No","No","Yes","No",,,"3 Phase","Gas Heaters","No",,"Yes",,"No","No",,,,
"xil141be",141     ,"2024-10-03 00:00:00",,"","","No","No","No","Yes","No","120/240-volt",200,"3 Phase","Gas Heaters","No",,"Yes",,"No","No",,,,
"xil141be",143     ,"2024-10-03 00:00:00",,"","","No","No","No","Yes","No","120/240",200,"3 Phase","Gas Heaters","No",,"Yes",,"No","No",,,,
"xil141be",145     ,"2024-10-03 00:00:00",,"","","No","No","No","Yes","No","120/240",200,"3 Phase","Gas Heaters","No",,"Yes",,"No","No",,,,
"3nj00001",1000    ,"2024-03-08 00:00:00",0,"","","N/A","N/A","N/A","N/A","N/A","",0,"N/A","N/A","No",0,"Yes",0,"N/A","No","","",,
"3fl00001",14735   ,"2024-10-07 00:00:00",2.9,"High-Intensity Discharge","Fluorescent","Yes","No","No","Yes","No","120/240",800,"3 Phase","None","No",0,"Yes",5,"Yes","No",,,,
"xtx1709s",100     ,"2024-10-07 00:00:00",2.06,"LED","LED","No","Yes","Yes","Yes","No","277/480",800,"3 Phase","Other","No",0,"Yes",14,"Yes","No",,,,
"xtx1709s",150     ,"2024-10-07 00:00:00",4.26,"LED","LED","Yes","Yes","No","Yes","No","277/480",1200,"3 Phase","Packaged Units","No",0,"Yes",7.5,"Yes","No",,,,
"xtx3857m",3857    ,"2024-10-07 00:00:00",13.13,"LED","Fluorescent","Yes","Yes","Yes","Yes","No",240,200,"3 Phase","Packaged Units","No",0,"Yes",56.5,"Yes","No",,,,
"xtx2445s",2445    ,"2024-10-07 00:00:00",10.23,"Fluorescent","Fluorescent","No","No","No","Yes","No","120/208",1200,"3 Phase","Gas Heaters","No",0,"Yes",59,"Yes","No",,,,
"xtx1050k",10501   ,"2024-04-17 00:00:00",18.87,"Fluorescent","Fluorescent","No","No","No","Yes","N/A","120/240",225,"Single","Gas Heaters","No",0,"Yes",7.5,"Yes","No","","",0,0
"xtx1050k",10507   ,"2024-04-17 00:00:00",17.49,"Fluorescent","Fluorescent","No","No","No","Yes","N/A","120/240",225,"Single","Gas Heaters","No",0,"Yes",3,"Yes","No","","",0,0
"xtx1050k",10511   ,"2024-04-17 00:00:00",0,"Fluorescent","Fluorescent","No","No","No","Yes","No","120/240",225,"3 Phase","Gas Heaters","No",0,"Yes",12.5,"Yes","No","","",0,0
"xtx1050k",10515   ,"2024-04-17 00:00:00",15.87,"Fluorescent","Fluorescent","No","No","No","Yes","No","120/240",225,"Single","Gas Heaters","No",0,"Yes",4,"Yes","No","","",0,0
"xtx1050k",10519   ,"2024-04-17 00:00:00",0,"Fluorescent","Fluorescent","No","No","No","Yes","N/A","120/240",225,"3 Phase","Gas Heaters","No",0,"Yes",8,"Yes","No","","",0,0
