Property Code,Property Address,City,Property State,ZIP,Is Land?,Fund,Legal Entity,ACQ Status,Acq. Date,Dispo. Date
"gasc5006","5108 Minola Dr","Stonecrest","GA",30038,,"FRG IX                                                                          ","FPIP-ATLLP                                                                      ","Sold                                                                            ","2019-02-15 00:00:00","08/01/2022 00:00:00"
"gasc6007","5220 Minola Dr","Stonecrest","GA",30038,,"FRG IX                                                                          ","FPIP-ATLLP                                                                      ","Sold                                                                            ","2019-02-15 00:00:00","06/22/2022 00:00:00"
"gashi019","4080 Shirley Dr SW, ","Atlanta","GA",30336,,"FRG IX                                                                          ","FP-Gimel GA LP                                                                  ","Sold                                                                            ","2020-06-01 00:00:00","08/23/2022 00:00:00"
"gasna025","5205 Snapfinger Woods Dr","Decatur","GA",30035,,"FRG IX                                                                          ","FP-Gimel GA LP                                                                  ","Sold                                                                            ","2020-02-10 00:00:00","06/22/2022 00:00:00"
"gasto009","7217 Daniel Dr","Stockbridge","GA",30281,,"FRG IX                                                                          ","FPIP-ATLLP                                                                      ","Sold                                                                            ","2019-03-20 00:00:00","06/22/2022 00:00:00"
"gasto038","4732 Stone Drive","Tucker","GA",30084,,"FRG IX                                                                          ","FP-Gimel GA LP                                                                  ","Sold                                                                            ","2021-06-24 00:00:00","06/22/2022 00:00:00"
"gatid023","165 Tidwell Drive ","Alpharetta","GA",30004,,"FRG IX                                                                          ","FP-Gimel GA LP                                                                  ","Sold                                                                            ","2020-07-30 00:00:00","06/22/2022 00:00:00"
"gatuc017","1868 Tucker Industrial Rd","Tucker","GA",30084,,"FRG IX                                                                          ","FP-Gimel GA LP                                                                  ","Sold                                                                            ","2019-08-14 00:00:00","06/22/2022 00:00:00"
"gavet029","281 Veterans Memorial Hwy SE","Mabelton","GA",30126,,"FRG IX                                                                          ","FP-Gimel GA LP                                                                  ","Sold                                                                            ","2020-11-05 00:00:00","06/22/2022 00:00:00"
"gawhe032","9120 Wheat Street","Covington","GA",30014,,"FRG IX                                                                          ","FP-Gimel GA LP                                                                  ","Sold                                                                            ","2021-03-02 00:00:00","06/22/2022 00:00:00"
"njhig121","121 High Hill Road, Unit A","Swedesboro","NJ",08085,,"FRG IX                                                                          ","FP Gimel NJ LP                                                                  ","Sold                                                                            ","2020-12-15 00:00:00","05/31/2023 00:00:00"
"njleo19 ","858 North Lenola Road","Moorestown","NJ",8057,,"FRG IX                                                                          ","FP Gimel NJ LP                                                                  ","Sold                                                                            ","2021-10-29 00:00:00","06/22/2022 00:00:00"
"njrun150","150 E Ninth Avenue","Runnemede","NJ",07078,,"FRG IX                                                                          ","FP Gimel NJ LP                                                                  ","Sold                                                                            ","2020-12-10 00:00:00","06/22/2022 00:00:00"
"njrun155","155 E Ninth Avenue","Runnemede","NJ",08078,,"FRG IX                                                                          ","FP Gimel NJ LP                                                                  ","Sold                                                                            ","2020-12-10 00:00:00","06/22/2022 00:00:00"
"njrun160","160 E Ninth Avenue","Runnemede","NJ",08078,,"FRG IX                                                                          ","FP Gimel NJ LP                                                                  ","Sold                                                                            ","2020-12-10 00:00:00","06/22/2022 00:00:00"
"njrun165","165 E Ninth Avenue","Runnemede","NJ",08058,,"FRG IX                                                                          ","FP Gimel NJ LP                                                                  ","Sold                                                                            ","2020-12-10 00:00:00","06/22/2022 00:00:00"
"njrun170","170 E Ninth Avenue","Runnemede","NJ",08078,,"FRG IX                                                                          ","FP Gimel NJ LP                                                                  ","Sold                                                                            ","2020-12-10 00:00:00","06/22/2022 00:00:00"
"njrun175","175 E Ninth Avenue","Runnemede","NJ",08078,,"FRG IX                                                                          ","FP Gimel NJ LP                                                                  ","Sold                                                                            ","2020-12-10 00:00:00","06/22/2022 00:00:00"
"njrun180","180 E Ninth Avenue","Runnemede","NJ",08078,"Yes                                                                             ","FRG IX                                                                          ","FP Gimel NJ LP                                                                  ","Sold                                                                            ","2020-12-10 00:00:00","06/22/2022 00:00:00"
"njrun190","190 E Ninth Avenue","Runnemede","NJ",08078,,"FRG IX                                                                          ","FP Gimel NJ LP                                                                  ","Sold                                                                            ","2020-12-10 00:00:00","06/22/2022 00:00:00"
"njrun200","200 E Ninth Avenue	","Runnemede","NJ",08078,"Yes                                                                             ","FRG IX                                                                          ","FP Gimel NJ LP                                                                  ","Sold                                                                            ","2020-12-10 00:00:00","06/22/2022 00:00:00"
"njrun717","717 E Clements Bridge","Runnemede","NJ",08078,"Yes                                                                             ","FRG IX                                                                          ","FP Gimel NJ LP                                                                  ","Sold                                                                            ","2020-12-10 00:00:00","06/22/2022 00:00:00"
