Property HMY,Prop Code,PropName,Market,Unit HMY,UnitCode,TenantName,UnitArea,UnitMlaId,ProfileMlaId,ProfileName,ChargeCode,AmtType,AmtPeriod,UnitMlaRentNew,UnitMlaRentRenew,ProfileMlaRentNew,ProfileMlaRentRenew,NewVariance,RenewVariance,AreaDate,TenantCode,TenantHMY,rn
2994,xnj9100p,9100 Pennsauken Highway,Philadelphia,5742,9100,"CS 9100, INC.",47256,1084,30,PHI_upto100,rent    ,per Area,Annual,10.25,10.25,8,8,2.25,2.25,6/26/2025 0:00,t0000714,7699,1
3633,3md00001,9176 Red Branch,Baltimore,11844,A-E     ,"Ark Systems, Inc.",19689,2382,61,Bal_2nd Iteration_upto100,rent    ,per Area,Annual,12.25,12.25,9,9,3.25,3.25,6/26/2025 0:00,t0000832,14548,1
3633,3md00001,9176 Red Branch,Baltimore,11850,F       ,Philip Franklin Heiliger & Nany Patricia Heiliger,4646,2386,61,Bal_2nd Iteration_upto100,rent    ,per Area,Annual,13,13,9,9,4,4,6/26/2025 0:00,t0000840,14866,1
3633,3md00001,9176 Red Branch,Baltimore,11848,G       ,"C&J Contractors, LLC",4606,2385,61,Bal_2nd Iteration_upto100,rent    ,per Area,Annual,12.75,12.75,9,9,3.75,3.75,6/26/2025 0:00,t0000833,14549,1
3633,3md00001,9176 Red Branch,Baltimore,12072,H       ,Vacant,4510,2388,61,Bal_2nd Iteration_upto100,rent    ,per Area,Annual,12,12,9,9,3,3,6/26/2025 0:00,,,1
3633,3md00001,9176 Red Branch,Baltimore,12073,IJK     ,Prime Egrocery Inc,11158,2389,45,BAL_upto100,rent    ,per Area,Annual,12,12,9,9,3,3,6/26/2025 0:00,t0001443,72480,1
3633,3md00001,9176 Red Branch,Baltimore,11851,L       ,"Gossamer Security Solutions, Inc.",3760,2387,61,Bal_2nd Iteration_upto100,rent    ,per Area,Annual,13,13,9,9,4,4,6/26/2025 0:00,t0000837,14557,1
3633,3md00001,9176 Red Branch,Baltimore,12074,MN      ,"Xcision Medical Systems, LLC",8881,2390,61,Bal_2nd Iteration_upto100,rent    ,per Area,Annual,12,12,9,9,3,3,6/26/2025 0:00,t0000841,14867,1
3633,3md00001,9176 Red Branch,Baltimore,12075,OP      ,"Xcision Medical Systems, LLC",9020,2391,61,Bal_2nd Iteration_upto100,rent    ,per Area,Annual,12,12,9,9,3,3,6/26/2025 0:00,t0000841,14867,1
3633,3md00001,9176 Red Branch,Baltimore,11846,Q       ,"Daring Design, LLC",4210,2384,45,BAL_upto100,rent    ,per Area,Annual,13,13,9,9,4,4,6/26/2025 0:00,t0000835,14551,1
3633,3md00001,9176 Red Branch,Baltimore,12076,RS      ,"Carnival Day, Inc.",7571,2392,61,Bal_2nd Iteration_upto100,rent    ,per Area,Annual,13,13,9,9,4,4,6/26/2025 0:00,t0001154,42994,1
3633,3md00001,9176 Red Branch,Baltimore,11845,T       ,"Casey's Coffee, Inc.",3412,2383,61,Bal_2nd Iteration_upto100,rent    ,per Area,Annual,12.5,12.5,9,9,3.5,3.5,6/26/2025 0:00,t0000834,14550,1
4435,3fl00005,920 NW 159 Drive,Miami,23145,A       ,Krispy Kreme Donut Corporation,32082,2355,26,MIA_upto100,rent    ,per Area,Annual,12.5,12.5,12.25,12.25,0.25,0.25,6/26/2025 0:00,t0001163,45782,1
1591,xgashaw2,922 Mountain Ind Dr,Atlanta,1450,922,Shaw Stainless LLC,11300,763,20,ATL_upto100,rent    ,per Area,Annual,9.14,9.14,6,6,3.14,3.14,6/26/2025 0:00,t0000471,2250,1
1679,xga9330 ,9330 Industrial Trace,Atlanta,2993,9330,Vacant,22500,770,57,Atl_2nd Iteration_upto100,rent    ,per Area,Annual,10.5,10.25,9,6.45,1.5,3.8,6/26/2025 0:00,,,1
3376,xga9335i,9335 Industrial Trace,Atlanta,8242,100,Vacant,20080,809,57,Atl_2nd Iteration_upto100,rent    ,per Area,Annual,11,11,9,6.45,2,4.55,6/26/2025 0:00,,,1
1885,xnj95bau,95 Bauer Drive,Northern NJ/New York,4020,01      ,"Kradle to Kindergarten, Inc.",6792,691,41,NNJ_upto100,rent    ,per Area,Annual,18,18,13.91,13.91,4.09,4.09,6/26/2025 0:00,t0000619,5467,1
4125,3il00005,955 Estes Avenue,Chicago,16834,100,Rademaker,45236,2082,29,CHI_upto100,rent    ,per Area,Annual,9.5,9.5,6.5,6.5,3,3,6/26/2025 0:00,t0001001,28074,1
1390,xtxball ,9615 Ball Street,San Antonio,509,9615,Custom Piping System,29772,1148,23,SAN_Upto100,rent    ,per Area,Annual,11.5,11.75,8,8,3.5,3.75,6/26/2025 0:00,t0001003,28220,1
5459,3nc00003,9701 Brookford Street,"Charlotte, NC",32751,A       ,"Core & Main LP	",33600,2927,43,CAR_upto100,rent    ,per Area,Annual,9.18,8.41,6,6,3.18,2.41,6/26/2025 0:00,t0001090,38080,1
5459,3nc00003,9701 Brookford Street,"Charlotte, NC",44900,B       ,"Core & Main LP	",33600,3492,43,CAR_upto100,rent    ,per Area,Annual,9.18,8.41,6,6,3.18,2.41,6/26/2025 0:00,t0001090,38080,1
1639,xtxdrysd,9820 Drysdale Lane,Houston,2930,9820,Vacant,26448,2744,23,SAN_Upto100,rent    ,per Area,Annual,8.75,8.75,8,8,0.75,0.75,6/26/2025 0:00,,,1
1590,xgashaw1,986 Rosedale Dr,Atlanta,1451,986,Shaw Stainless LLC,16000,764,20,ATL_upto100,rent    ,per Area,Annual,8.25,8.25,6,6,2.25,2.25,6/26/2025 0:00,t0000469,2247,1
7803,3ga00014,"Hart Portfolio, ATL - 1120 Vend Dr",Atlanta,63869,100,"Five Star Food Service, Inc. ",25000,5389,20,ATL_upto100,rent    ,per Area,Annual,10,10,6,6,4,4,6/26/2025 0:00,t0001526,74994,1
7799,3ga00012,"Hart Portfolio, ATL - 4916 N. Royal Dr",Atlanta,63867,100,"Five Star Food Service, Inc. ",30000,5387,20,ATL_upto100,rent    ,per Area,Annual,10.25,10.25,6,6,4.25,4.25,6/26/2025 0:00,t0001524,74991,1
7801,3ga00013,"Hart Portfolio, ATL - 4919 N Royal Dr",Atlanta,63868,100,"Five Star Food Service, Inc. ",80600,5388,20,ATL_upto100,rent    ,per Area,Annual,8.75,8.75,6,6,2.75,2.75,6/26/2025 0:00,t0001525,74992,1
3575,xtx1709s,I-45 Logistics Center,Dallas,9212,100,"Baker Triangle Prefab, LTD",150018,839,44,Dal_100plus,rent    ,per Area,Annual,5,5,6.5,6.5,-1.5,-1.5,6/26/2025 0:00,t0000790,12400,1
3575,xtx1709s,I-45 Logistics Center,Dallas,9213,150,"Solstice Sleep Products, Inc. ",95281,840,22,Dallas_upto100,rent    ,per Area,Annual,5.5,5.5,7.5,7.5,-2,-2,6/26/2025 0:00,t0000791,12407,1
1291,nikedeal,Nike deal,Memphis,414,100,"Nike TN, Inc.",707940,2978,47,MEM_100KPlus,rent    ,per Area,Annual,4.5,4.5,4.15,4.15,0.35,0.35,6/26/2025 0:00,t0000353,980,1
