hmy_property,propert code,unit/space,acquisition sf,renewal probability,downtime(months),abatement-new(months),abatement-renew(months),e1 start date,e1 term (months),e1 annual escalations (%),e1 base rent-new ($psf),e1 base rent-renew ($psf),e1 lc-new %,e1 lc-renew %,e1 ti-new ($psf),e1 ti-renew ($psf),e1 tenanat options ($ psf),e2 start date,e2 term (months),e2 annual escalations (%),e2 base rent-new ($psf),e2 base rent-renew ($psf),e2 lc-new %,e2 lc-renew %,e2 ti-new ($psf),e2 ti-renew ($psf),e2 tenanat options ($ psf),acq. analysis start date,acq. marketbase rent - new,acq. marketbase rent - renew,effective rent growth yr 1(%),effective rent growth yr 2(%),effective rent growth yr 3(%),effective rent growth yr 4(%),effective rent growth yr 5(%),effective rent growth yr 6(%)
1392,xgahire2,201,26301,75,9,0,1,11/1/2025,60,2.5,7.33,7.33,7,6,3,0,6.8,11/1/2030,60,2.5,8.91,8.91,7,6,3,0,0,5/14/2021,6.15,6.15,4,0,0,0,0,0
1393,xgahire3,210,40841,75,9,0,1,11/1/2025,60,2.5,7.33,7.33,7,6,3,0,6.8,11/1/2030,60,2.5,8.91,8.91,7,6,3,0,0,5/14/2021,6.15,6.15,4,0,0,0,0,0
1394,xgahire4,224,34962,75,9,0,1,11/1/2025,60,2.5,7.33,7.33,7,6,3,0,6.8,11/1/2030,60,2.5,8.91,8.91,7,6,3,0,0,5/14/2021,6.15,6.15,4,0,0,0,0,0
1395,xgahire5,246,39088,75,9,0,1,11/1/2025,60,2.5,7.33,7.33,7,6,3,0,6.8,11/1/2030,60,2.5,8.91,8.91,7,6,3,0,0,5/14/2021,6.15,6.15,4,0,0,0,0,0
1396,xgahire6,252,16746,75,9,0,1,11/1/2025,60,2.5,7.33,7.33,7,6,3,0,6.8,11/1/2030,60,2.5,8.91,8.91,7,6,3,0,0,5/14/2021,6.15,6.15,4,0,0,0,0,0
1397,xgahire7,2980,27322,75,9,0,1,11/1/2025,60,2.5,7.33,7.33,7,6,3,0,6.8,11/1/2030,60,2.5,8.91,8.91,7,6,3,0,0,5/14/2021,6.15,6.15,4,0,0,0,0,0
1398,xgahire8,3000,19200,75,9,0,1,11/1/2025,60,2.5,7.33,7.33,7,6,3,0,6.8,11/1/2030,60,2.5,8.91,8.91,7,6,3,0,0,5/14/2021,6.15,6.15,4,0,0,0,0,0
1584,xnjmway3,C,10500,75,6,0,1,1/1/2022,48,2.5,5.63,5.63,6,4,4,2,0,1/1/2026,48,2.5,6.59,6.59,6,4,2,1,0,5/25/2021,5.5,5.5,4,0,0,0,0,0
1584,xnjmway3,A,10550,75,6,1,1,6/1/2021,48,2.5,5,5,6,4,4,2,0,6/1/2025,48,2.5,5.85,5.85,6,4,2,1,0,5/25/2021,5,5,4,4,4,4,4,4
1584,xnjmway3,B,21250,50,6,1,1,6/1/2021,48,2.5,5,5,6,4,4,2,0,6/1/2025,48,2.5,5.85,5.85,6,4,2,1,0,5/25/2021,5,5,4,4,4,4,4,4
1585,xnjmway5,ANT-A,0,100,0,0,0,6/1/2030,60,2.5,20026.44,20026.44,0,0,0,0,0,6/1/2035,60,2.5,24365.23,24365.23,0,0,0,0,0,5/25/2021,14061.12,14061.12,4,0,0,0,0,0
1585,xnjmway5,A,10000,75,6,1,1,9/1/2023,48,2.5,6.28,6.28,6,4,4,2,0,9/1/2027,48,2.5,7.35,7.35,6,4,2,1,0,5/25/2021,5.75,5.75,4,4,4,4,4,4
1585,xnjmway5,C,20000,75,6,1,1,3/1/2023,48,2.5,5.89,5.89,6,4,4,2,0,3/1/2027,48,2.5,6.9,6.9,6,4,2,1,0,5/25/2021,5.5,5.5,4,4,4,4,4,4
1585,xnjmway5,ANT-B,0,100,0,0,0,6/1/2030,60,2.5,28570.53,28570.53,0,0,0,0,0,6/1/2035,60,2.5,34760.42,34760.42,0,0,0,0,0,5/25/2021,20060.16,20060.16,4,0,0,0,0,0
1586,xnjmway7,B,20000,75,6,1,1,7/1/2022,48,2.5,5.22,5.22,6,4,4,2,0,7/1/2026,48,2.5,6.11,6.11,6,4,2,1,0,5/25/2021,5,5,4,4,4,4,4,4
1586,xnjmway7,A,20000,75,6,1,1,6/1/2021,48,2.5,5,5,6,4,4,2,0,6/1/2025,48,2.5,5.85,5.85,6,4,2,1,0,5/25/2021,5,5,4,4,4,4,4,4
1587,xnjmway9,B,21750,75,6,1,1,9/1/2021,48,2.5,5.31,5.31,6,4,4,2,0,9/1/2025,48,2.5,6.21,6.21,6,4,2,1,0,5/25/2021,5.25,5.25,4,4,4,4,4,4
1587,xnjmway9,A1,12500,50,6,1,1,6/1/2021,48,2.5,5,5,6,4,4,2,0,6/1/2025,48,2.5,5.85,5.85,6,4,2,1,0,5/25/2021,5,5,4,4,4,4,4,4
1587,xnjmway9,A,7500,75,6,1,1,9/1/2026,48,2.5,7.38,7.38,6,4,4,2,0,9/1/2030,48,2.5,8.63,8.63,6,4,2,1,0,5/25/2021,6,6,4,4,4,4,4,4
1590,xgashaw1,986,16000,75,10,0,2,7/1/2028,60,3,8.25,8.25,7,6,2,1,0,7/1/2033,60,3,10.04,10.04,7,6,2,1,0,6/4/2021,6.25,6.25,4,0,0,0,0,0
1591,xgashaw2,922,11300,75,6,0,2,7/1/2028,60,3,9.9,9.9,7,6,2,1,0,7/1/2033,60,3,12.04,12.04,7,6,2,1,0,6/4/2021,7.5,7.5,4,0,0,0,0,0
1592,xgashaw3,899,26880,75,6,0,2,7/1/2028,60,3,9.24,9.24,7,6,2,1,0,7/1/2033,60,3,11.24,11.24,7,6,2,1,0,6/4/2021,7,7,4,0,0,0,0,0
1593,xgashaw4,300,22200,75,12,0,2,7/1/2028,60,3,7.92,7.92,7,6,2,1,0,7/1/2033,60,3,9.63,9.63,7,6,2,1,0,6/4/2021,6,6,4,0,0,0,0,0
1594,xgashaw5,200,17766,75,6,0,2,7/1/2028,60,3,8.25,8.25,7,6,2,1,0,7/1/2033,60,3,10.04,10.04,7,6,2,1,0,6/4/2021,6.25,6.25,4,0,0,0,0,0
1595,xgashaw6,100,11275,75,6,0,2,7/1/2028,60,3,8.25,8.25,7,6,2,1,0,7/1/2033,60,3,10.04,10.04,7,6,2,1,0,6/4/2021,6.25,6.25,4,0,0,0,0,0
1598,xtxglen,3113,115200,75,0,0,0,10/1/2021,60,3,3.98,3.98,0,4,0,0,0,10/1/2026,60,3,4.62,4.62,0,4,0,0,0,6/24/2021,3.95,3.95,3,0,0,0,0,0
1599,xnjmorri,14,38000,75,9,0,2,3/1/2024,48,3,6.11,6.11,6,4,5,3,0,3/1/2028,48,3,7.15,7.15,6,4,3,2,0,6/23/2021,5.5,5.5,4,0,0,0,0,0
1639,xtxdrysd,9820,26448,0,9,0,2,5/1/2022,60,2.5,7.9,7.9,6,4,2,1,0,5/1/2027,60,2.5,8.51,8.51,6,4,2,1,0,7/6/2021,7.8,7.8,1.5,0,0,0,0,0
1640,xgamc200,4200,45000,75,9,0,2,9/1/2025,60,3,5.93,5.93,7,6,4,0,5.14,9/1/2030,60,3,6.88,6.88,7,6,4,4,0,7/14/2021,5.25,5.25,3,0,0,0,0,0
1641,xgamc220,4220,36000,75,9,0,2,7/1/2023,60,3,7.15,7.15,7,6,3,2,0,7/1/2028,60,3,8.29,8.29,7,6,3,2,0,7/14/2021,6.75,6.75,3,0,0,0,0,0
1642,xgamc255,4255,45000,75,9,0,2,7/1/2023,60,3,6.36,6.36,7,6,3,2,0,7/1/2028,60,3,7.37,7.37,7,6,3,2,0,7/14/2021,6,6,3,0,0,0,0,0
1643,xgamc260,4260,15000,75,6,0,2,7/1/2023,60,3,8.21,8.21,7,6,3,2,0,7/1/2028,60,3,9.52,9.52,7,6,3,2,0,7/14/2021,7.75,7.75,3,0,0,0,0,0
1645,xilmitch,561,30000,75,9,0,0,7/1/2026,60,3,6.38,6.38,6,1,3,0,8.4,7/1/2031,60,3,7.39,7.39,6,5,3,1,0,6/29/2021,5.5,5.5,3,0,0,0,0,0
1652,xtxmorto,106,132133,75,6,0,1,3/1/2031,60,2.25,5.65,5.65,6,4,2,1,0,3/1/2036,60,2.25,6.55,6.55,6,4,2,1,0,7/15/2021,4.25,4.25,3,0,0,0,0,0
1652,xtxmorto,100,77536,75,6,0,1,3/1/2030,60,1.25,5.48,5.48,6,4,2,1,0,3/1/2035,60,1.25,6.36,6.36,6,4,2,1,0,7/15/2021,4.25,4.25,3,0,0,0,0,0
1653,xtxritti,8,17488,75,6,0,1,11/1/2025,60,2.5,7.66,7.66,6,4,2,0.5,0,11/1/2030,60,2.5,8.88,8.88,6,4,2,0.5,0,7/16/2021,6.75,6.75,3,0,0,0,0,0
1653,xtxritti,7,8809,75,6,0,1,10/1/2025,60,2.44,7.88,7.88,6,4,2,0.5,0,10/1/2030,60,2.44,9.14,9.14,6,4,2,0.5,0,7/16/2021,6.96,6.96,3,0,0,0,0,0
1653,xtxritti,3,8809,0,6,0,1,2/1/2022,60,2.5,7.07,7.07,6,4,4,0.5,0,2/1/2027,60,2.5,8.2,8.2,6,4,4,0.5,0,7/16/2021,6.96,6.96,3,0,0,0,0,0
1653,xtxritti,2,8730,75,6,0,1,1/1/2024,60,2.91,7.49,7.49,6,4,2,0.5,0,1/1/2029,5,2.91,8.95,8.95,6,4,2,1,null,7/16/2021,6.96,6.96,3,3,3,3,3,3
1653,xtxritti,4,8807,75,6,0,1,7/1/2026,60,2.44,8.09,8.09,6,4,2,0.5,0,7/1/2031,60,2.44,9.4,9.4,6,4,2,1,0,7/16/2021,6.96,6.96,3,3,3,3,3,3
1653,xtxritti,5,8790,75,6,0,1,7/1/2026,60,2.44,8.09,8.09,6,4,2,0.5,0,7/1/2031,60,2.44,9.4,9.4,6,4,2,1,0,7/16/2021,6.96,6.96,3,3,3,3,3,3
1653,xtxritti,6,8816,75,6,0,1,7/1/2026,60,2.44,8.09,8.09,6,4,2,0.5,0,7/1/2031,60,2.44,9.4,9.4,6,4,2,1,0,7/16/2021,6.96,6.96,3,3,3,3,3,3
1653,xtxritti,1,8730,75,6,0,1,1/1/2024,60,2.91,7.49,7.49,6,4,2,0.5,0,1/1/2029,5,2.91,8.95,8.95,6,4,2,1,0,7/16/2021,6.96,6.96,3,3,3,3,3,3
1654,xohcomme,10021,80000,70,9,0,1,3/1/2023,60,3,3.67,3.67,6,4,2,0.5,0,3/1/2028,60,3,4.26,4.26,6,4,2,0.5,0,7/13/2021,3.5,3.5,3,0,0,0,0,0
1655,xnjcentr,7055-1,30000,0,9,0,1,11/1/2022,48,3,4.73,4.73,6,4,7,5,0,11/1/2026,48,3,5.53,5.53,6,4,4,2,0,7/22/2021,4.5,4.5,4,0,0,0,0,0
1656,xpastate,8800,17678,75,11,0,2,4/1/2026,48,3,11.75,11.75,6,4,5,3,0,4/1/2030,48,3,13.74,13.74,6,4,3,2,0,7/18/2021,9.77,9.77,4,0,0,0,0,0
1657,xilmount,1,64002,75,6,0,1,1/1/2031,60,3,5.62,5.62,6,5,3,1,0,1/1/2036,60,3,6.52,6.52,6,5,3,1,0,7/15/2021,4.25,4.25,3,0,0,0,0,0
1658,xtn225bo,101,45820,0,10,0,1,11/1/2021,60,2.5,2.62,2.62,6,4,2,0.5,0,11/1/2026,60,2.5,3.04,3.04,6,4,2,0.5,0,7/29/2021,2.6,2.6,3,0,0,0,0,0
1658,xtn225bo,229,20840,75,10,0,1,6/1/2026,60,2.5,3.12,3.12,6,4,2,0.5,0,6/1/2031,60,2.5,3.61,3.61,6,4,2,0.5,0,7/29/2021,2.7,2.7,3,0,0,0,0,0
1659,xil1601,1601A,27809,75,8,0,2,11/1/2028,60,2.2,7.43,7.43,6,5,2,1,0,11/1/2033,60,2.2,8.62,8.62,6,5,2,1,0,8/4/2021,6,6,3,0,0,0,0,0
1660,xil747,747,123200,90,8,0,2,2/1/2030,60,2,8.16,8.16,6,5,2,1,0,2/1/2035,60,2,9.46,9.46,6,5,2,1,0,8/4/2021,6.35,6.35,3,0,0,0,0,0
1661,xil1688,1688,84804,75,8,0,2,8/1/2024,60,2,5.74,5.74,6,0,2,0,4.37,8/1/2029,60,2,6.65,6.65,6,0,2,0,0,8/4/2021,5.25,5.25,3,0,0,0,0,0
1662,xil305e,305,32404,50,8,0,2,9/1/2023,60,2.4,6.65,6.65,6,5,2,1,0,9/1/2028,60,2.4,7.7,7.7,6,5,2,1,0,8/4/2021,6.25,6.25,3,0,0,0,0,0
1662,xil305e,307,17605,75,8,0,2,6/1/2025,60,2.4,7.39,7.39,6,5,2,1,0,6/1/2030,60,2.4,8.57,8.57,6,5,2,1,0,8/4/2021,6.6,6.6,3,0,0,0,0,0
1663,xil1600,100,238423,90,8,0,2,12/1/2025,60,2.5,7.22,7.22,6,5,2,1,0,12/1/2030,60,2.5,8.37,8.37,6,5,2,1,0,8/4/2021,6.35,6.35,3,0,0,0,0,0
1664,xil1terr,A,19702,90,8,0,2,10/1/2026,60,2.9,7.86,7.86,6,5,2,1,0,10/1/2031,60,2.9,9.11,9.11,6,5,2,1,0,8/4/2021,6.75,6.75,3,0,0,0,0,0
1664,xil1terr,B,10700,90,8,0,2,8/1/2023,60,2.9,7.16,7.16,6,5,2,1,0,8/1/2028,60,2.9,8.3,8.3,6,5,2,1,0,8/4/2021,6.75,6.75,3,0,0,0,0,0
1664,xil1terr,C,22001,75,8,0,2,1/1/2023,60,3,7.04,7.04,6,5,2,1,0,1/1/2028,60,3,8.16,8.16,6,5,2,1,0,8/4/2021,6.75,6.75,3,0,0,0,0,0
1665,xil1111,100,144578,90,11,0,2,4/1/2027,60,2,7.07,7.07,6,5,3,1.5,0,4/1/2032,60,2,8.19,8.19,6,5,3,1.5,0,8/4/2021,5.98,5.98,3,0,0,0,0,0
1666,xtn187bo,100,120000,75,12,0,1,4/1/2024,60,2.5,2.49,2.49,6,4,1,0.5,0,4/1/2029,60,2.5,2.89,2.89,6,4,1,0.5,0,7/29/2021,2.3,2.3,3,0,0,0,0,0
1667,xpa1peae,A,32895,75,9,2,1,8/1/2030,60,3.5,15.5,15.5,7.5,6.25,5.55,3.33,15.5,10/1/2035,60,3.5,15.5,15.5,7.5,6.25,5.55,3.33,15.5,10/10/2023,14.22,14.22,8.95,7.96,6.18,4.81,4.5,4.5
1667,xpa1peae,B,14684,75,9,2,1,2/1/2027,48,3.5,16.86,16.86,7.5,6.25,11.65,2.22,16.86,4/1/2031,48,3.5,0,0,7.5,6.25,0,0,0,8/4/2021,7.25,7.25,8.95,7.96,6.18,4.81,4.5,4.5
1668,xnj7550,7550,18540,75,9,0,2,5/1/2026,48,3,8.79,8.79,6,4,25,15,0,5/1/2030,48,3,10.28,10.28,6,4,25,15,0,8/6/2021,7.3,7.3,4,0,0,0,0,0
1670,xga130j,130,40000,0,6,0,1,3/1/2022,60,3,3.56,3.56,7,6,2,1,0,3/1/2027,60,3,4.12,4.12,7,6,2,1,0,8/11/2021,3.5,3.5,3,0,0,0,0,0
1673,xnj900k,900,37663,75,9,0,1,11/1/2026,48,2.5,7.96,7.96,6,4,12,6,0,11/1/2030,48,2.5,9.31,9.31,6,4,5,2,0,9/3/2021,6.5,6.5,4,0,0,0,0,0
1674,xnj6965,6965,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0
1675,xnj440be,A-1,1777,75,6,0,1,5/1/2024,48,3.4,9.24,9.24,6,4,10,5,0,5/1/2028,48,3.4,9.62,9.62,6,4,10,5,0,8/30/2021,9,9,1,0,0,0,0,0
1675,xnj440be,A3,825,75,12,0,1,1/1/2023,48,3,9.12,9.12,6,4,10,5,0,1/1/2027,48,3,9.49,9.49,6,4,10,5,0,8/30/2021,9,9,1,0,0,0,0,0
1675,xnj440be,A-7,1232,75,12,0,1,10/1/2021,48,3,7.01,7.01,6,4,10,5,0,10/1/2025,48,3,7.29,7.29,6,4,10,5,0,8/30/2021,7,7,1,0,0,0,0,0
1675,xnj440be,A-5,525,75,12,0,1,12/1/2026,48,3,7.38,7.38,6,4,10,5,0,12/1/2030,48,3,7.68,7.68,6,4,10,5,0,8/30/2021,7,7,1,0,0,0,0,0
1675,xnj440be,A-6,343,75,12,0,1,1/1/2022,48,3,7.02,7.02,6,4,10,5,0,1/1/2026,48,3,7.31,7.31,6,4,10,5,0,8/30/2021,7,7,1,0,0,0,0,0
1675,xnj440be,A-2,2262,75,12,0,1,8/1/2023,48,3,7.13,7.13,6,4,10,5,0,8/1/2027,48,3,7.42,7.42,6,4,10,5,0,8/30/2021,7,7,1,0,0,0,0,0
1675,xnj440be,A-4,999,0,9,0,1,6/1/2022,48,3,7.05,7.05,6,4,10,5,0,6/1/2026,48,3,7.34,7.34,6,4,10,5,0,8/30/2021,7,7,1,0,0,0,0,0
1676,xnj420be,A,1894,75,6,0,1,4/1/2024,48,3,9.23,9.23,6,4,10,5,0,4/1/2028,48,3,9.61,9.61,6,4,10,5,0,8/30/2021,9,9,1,0,0,0,0,0
1677,xnj313c,313,67000,75,9,0,2,9/1/2026,48,2,6.08,6.08,6,4,5,2,0,9/1/2030,48,2,7.11,7.11,6,4,5,2,0,9/9/2021,5,5,4,0,0,0,0,0
1678,xnj52col,52,59488,75,12,0,1,9/1/2028,48,3,6.24,6.24,6,4,10,5,0,9/1/2032,48,3,7.31,7.31,6,4,4,2,0,9/10/2021,4.75,4.75,4,0,0,0,0,0
1679,xga9330,9330,22500,75,6,0,1,9/1/2023,36,3,6.26,6.26,7,0,2,0,0,9/1/2026,60,3,6.84,6.84,7,0,2,0,0,8/23/2021,5.9,5.9,3,0,0,0,0,0
1680,xil900b,B,13231,75,6,0,1,1/1/2026,60,3,6.83,6.83,6,5,3,1,0,1/1/2031,60,3,7.91,7.91,6,5,3,1,0,8/20/2021,6,6,3,0,0,0,0,0
1680,xil900b,A,30307,75,6,0,1,6/1/2026,60,2.5,6.91,6.91,6,5,3,1,0,6/1/2031,60,2.5,8.01,8.01,6,5,3,1,0,8/20/2021,6,6,3,0,0,0,0,0
1681,xga4225,108-109,7319,0,12,0,1,6/1/2022,60,3,6.03,6.03,7,6,12,4,0,6/1/2027,60,3,6.99,6.99,7,6,3,4,0,9/15/2021,5.9,5.9,3,0,0,0,0,0
1681,xga4225,116,9832,75,6,0,1,1/1/2024,60,3,6.31,6.31,7,6,6,4,0,1/1/2029,60,3,7.32,7.32,7,6,3,4,0,9/15/2021,5.9,5.9,3,0,0,0,0,0
1681,xga4225,107,2300,0,12,0,1,11/1/2022,60,3,6.1,6.1,7,6,10,4,0,11/1/2027,60,3,7.07,7.07,7,6,3,4,0,9/15/2021,5.9,5.9,3,0,0,0,0,0
1681,xga4225,110-111,5123,0,9,0,1,3/1/2022,60,3,5.98,5.98,7,6,10,4,0,3/1/2027,60,3,6.93,6.93,7,6,3,4,0,9/15/2021,5.9,5.9,3,0,0,0,0,0
1681,xga4225,112,2719,0,9,0,1,7/1/2023,60,3,6.22,6.22,7,6,10,4,0,7/1/2028,60,3,7.21,7.21,7,6,3,4,0,9/15/2021,5.9,5.9,3,0,0,0,0,0
1682,xnj845l,845,17000,75,12,0,1,12/1/2025,48,2.9,9.73,9.73,6,4,10,8,0,12/1/2029,48,2.9,11.38,11.38,6,4,10,8,0,9/17/2021,8.25,8.25,4,0,0,0,0,0
1683,xnj1010,1010,69813,75,9,0,2,9/1/2024,48,3,5.05,5.05,4,4,4,2,0,9/1/2028,48,3,5.9,5.9,4,4,4,2,0,9/30/2021,4.5,4.5,4,4,4,4,4,4
1685,xtx2655,2655,30840,75,6,0,1,7/1/2023,36,2,5.75,5.75,6,4,1.5,0,4.36,7/1/2026,36,2,6.37,6.37,6,4,3,1.5,0,3/22/2022,5.5,5.5,3.5,0,0,0,0,0
1686,xtx1121,A,50000,0,9,0,1,7/1/2022,60,3,5.32,5.32,6,4,2,1,0,7/1/2027,60,3,6.64,6.64,6,4,2,0,0,9/28/2021,5.15,5.15,4.5,0,0,0,0,0
1686,xtx1121,B,15780,0,9,0,1,7/1/2022,60,3,6.2,6.2,6,4,3,1,0,7/1/2027,60,3,7.73,7.73,6,4,3,0,0,9/28/2021,6,6,4.5,0,0,0,0,0
1689,xga265c,265,82460,0,6,0,1,1/1/2022,60,3,5.3,5.3,7,6,2,1,0,1/1/2027,60,3,6.45,6.45,7,6,2,1,0,10/5/2021,5.25,5.25,4,0,0,0,0,0
1695,xnj390n,390,56600,25,9,0,1,11/1/2023,48,3,5.96,5.96,6,4,8,6,0,11/1/2027,48,3,6.97,6.97,6,4,4,2,0,10/17/2021,5.5,5.5,4,0,0,0,0,0
1696,xga4601,4601,128758,50,9,0,1,1/1/2023,60,3,3.89,3.89,7,0,2,0,3.17,1/1/2028,60,3,4.73,4.73,7,0,2,0,3.33,10/1/2021,3.7,3.7,4,0,0,0,0,0
1696,xga4601,RAILYARD,0,100,0,0,0,1/1/2023,120,0,120000,120000,0,0,0,0,0,1/1/2033,120,0,120000,120000,0,0,0,0,0,10/1/2021,120000,120000,0,0,0,0,0,0
1732,xga1157,1157,166493,75,9,0,1,11/1/2031,60,2,5.3,5.3,7,6,2,1,0,11/1/2036,60,2,6.29,6.29,7,6,2,1,0,10/18/2021,3.75,3.75,3.5,0,0,0,0,0
1733,xga5070,5070-O,20000,0,9,0,1,8/1/2022,60,3,4.06,4.06,7,6,1,1,0,8/1/2027,60,3,4.82,4.82,7,6,1,1,0,10/10/2021,3.95,3.95,3.5,0,0,0,0,0
1733,xga5070,5070-W,28276,0,9,0,1,8/1/2022,60,3,4.06,4.06,7,6,1,1,0,8/1/2027,60,3,4.82,4.82,7,6,1,1,0,10/10/2021,3.95,3.95,3.5,0,0,0,0,0
1734,xil2101,100,21080,75,9,0,1,6/1/2025,60,2.5,6.85,6.85,6,5,2,1,0,6/1/2030,60,2.5,7.94,7.94,6,5,2,1,0,10/15/2021,6.15,6.15,3,0,0,0,0,0
