amendment_hmy,property_code,tenant_id,amendment_status,amendment_sf,category,priority
115663,ohwar004,t0000025,Activated,8000,RENT_EXPECTED,CRITICAL
115664,njrun155,t0000695,Activated,17291,RENT_EXPECTED,CRITICAL
115665,gamoo022,t0000740,Activated,40000,RENT_EXPECTED,CRITICAL
115666,gajon020,t0000741,Activated,19452,RENT_EXPECTED,CRITICAL
115667,gacom33,t0000754,Activated,50530,RENT_EXPECTED,CRITICAL
115668,txvic008,t0000763,Activated,0,TERMINATION_OK,OK
115669,njrun150,t0000764,Activated,4214,RENT_EXPECTED,CRITICAL
115670,txmil005,t0000574,Activated,16350,RENT_EXPECTED,CRITICAL
115671,ohkem002,t0000587,Activated,19727,RENT_EXPECTED,CRITICAL
115672,gamon027,t0000592,Activated,2344,RENT_EXPECTED,CRITICAL
115673,tnb03013,t0000637,Activated,30000,RENT_EXPECTED,CRITICAL
115674,ohwar004,t0000651,Activated,7560,RENT_EXPECTED,CRITICAL
115675,txwin004,t0000694,Activated,59600,RENT_EXPECTED,CRITICAL
115676,gasto038,t0000493,Activated,0,TERMINATION_OK,OK
115677,txstr009,t0000500,Activated,58016,RENT_EXPECTED,CRITICAL
115678,gasna025,t0000506,Activated,40117,RENT_EXPECTED,CRITICAL
115679,tnb11012,t0000533,Activated,109955,RENT_EXPECTED,CRITICAL
115823,gaeas037,t0000433,Activated,106170,RENT_EXPECTED,CRITICAL
115824,ohwar004,t0000020,Activated,4858,RENT_EXPECTED,CRITICAL
115825,ohkem002,t0000011,Activated,10300,RENT_EXPECTED,CRITICAL
115826,njrun170,t0000283,Activated,9726,RENT_EXPECTED,CRITICAL
115827,njrun170,t0000284,Activated,8900,RENT_EXPECTED,CRITICAL
115828,njrun175,t0000285,Activated,7500,RENT_EXPECTED,CRITICAL
115829,njrun150,t0000345,Activated,4214,RENT_EXPECTED,CRITICAL
115830,tnb03013,t0000347,Activated,30000,RENT_EXPECTED,CRITICAL
115831,pajam002,t0000386,Activated,60324,RENT_EXPECTED,CRITICAL
115832,gavet029,t0000247,Activated,21000,RENT_EXPECTED,CRITICAL
115833,njrun155,t0000272,Activated,6000,RENT_EXPECTED,CRITICAL
115834,njrun160,t0000275,Activated,6716,RENT_EXPECTED,CRITICAL
115835,njrun165,t0000278,Activated,5744,RENT_EXPECTED,CRITICAL
115836,njrun165,t0000281,Activated,11616,RENT_EXPECTED,CRITICAL
115837,njrun165,t0000282,Activated,17280,RENT_EXPECTED,CRITICAL
115838,gahig021,t0000181,Activated,10000,RENT_EXPECTED,CRITICAL
115839,gasto009,t0000187,Activated,5025,RENT_EXPECTED,CRITICAL
115840,gasto009,t0000188,Activated,10050,RENT_EXPECTED,CRITICAL
115841,gaold008,t0000192,Activated,33750,RENT_EXPECTED,CRITICAL
115842,gamoo022,t0000225,Activated,40000,RENT_EXPECTED,CRITICAL
115843,gamon027,t0000231,Activated,8000,RENT_EXPECTED,CRITICAL
115844,gacn010,t0000159,Activated,2700,RENT_EXPECTED,CRITICAL
115845,gable014,t0000168,Activated,9131,RENT_EXPECTED,CRITICAL
115846,gasc2003,t0000170,Activated,32000,RENT_EXPECTED,CRITICAL
115847,gagra015,t0000173,Activated,21352,RENT_EXPECTED,CRITICAL
115848,gatid023,t0000177,Activated,12650,RENT_EXPECTED,CRITICAL
115849,gahig021,t0000180,Activated,25037,RENT_EXPECTED,CRITICAL
115850,tnwl7005,t0000095,Activated,7450,RENT_EXPECTED,CRITICAL
115851,njleo19,t0000104,Activated,25572,RENT_EXPECTED,CRITICAL
115852,txmai006,t0000126,Activated,24392,RENT_EXPECTED,CRITICAL
115853,tx4se001,t0000140,Activated,14100,RENT_EXPECTED,CRITICAL
115854,gacn012,t0000155,Activated,15750,RENT_EXPECTED,CRITICAL
115855,gacn012,t0000156,Activated,15750,RENT_EXPECTED,CRITICAL
115856,tntrid2,t0000066,Activated,65656,RENT_EXPECTED,CRITICAL
115857,njrun160,t0000265,Activated,22400,RENT_EXPECTED,CRITICAL
115858,gacom33,t0000418,Activated,14400,RENT_EXPECTED,CRITICAL
115859,tnb12011,t0000576,Activated,48475,RENT_EXPECTED,CRITICAL
115860,gatuc017,t0000816,Activated,0,TERMINATION_OK,OK
115861,njrun155,t0000343,Activated,0,TERMINATION_OK,OK
