unit id,property id,unit name,unit type,excluded unit,floor id,floor code,floor level int,level,elevator,building id,building code,building name,database id
435,913,290,,0,2,2,0,,Yes,,,,1
436,913,340,,0,3,3,0,,Yes,,,,1
437,913,350,,0,3,3,0,,Yes,,,,1
438,913,395,,0,3,3,0,,Yes,,,,1
439,913,390,,0,3,3,0,,Yes,,,,1
440,913,400,,0,4,4,0,,Yes,,,,1
441,913,520,,0,5,5,0,,Yes,,,,1
442,913,550,,0,5,5,0,,Yes,,,,1
443,913,600,,0,6,6,0,,Yes,,,,1
444,913,620,,0,6,6,0,,Yes,,,,1
445,913,625,,0,6,6,0,,Yes,,,,1
446,913,650,,0,6,6,0,,Yes,,,,1
447,913,655,,0,6,6,0,,Yes,,,,1
448,913,660,,0,6,6,0,,Yes,,,,1
449,913,670,,0,6,6,0,,Yes,,,,1
450,913,700,,0,7,7,0,,Yes,,,,1
451,913,950,,0,9,9,0,,Yes,,,,1
452,913,102,,0,1,1,0,,Yes,,,,1
453,913,104,,0,1,1,0,,Yes,,,,1
454,913,120,,0,1,1,0,,Yes,,,,1
455,913,190,,0,1,1,0,,Yes,,,,1
456,913,330,,0,3,3,0,,Yes,,,,1
457,913,475,,0,4,4,0,,Yes,,,,1
458,913,900,,0,9,9,0,,Yes,,,,1
459,913,680,,0,6,6,0,,Yes,,,,1
460,913,450,,0,4,4,0,,Yes,,,,1
461,913,180,,0,1,1,0,,Yes,,,,1
462,913,220,,0,2,2,0,,Yes,,,,1
463,913,ROOF,,0,13,ROOF,0,,No,,,,1
464,1361,A,,0,,,0,,,,,,1
309,1338,A,Industrial,0,,,0,,,,,,1
310,1338,B,Industrial,0,,,0,,,,,,1
311,1339,A,Industrial,0,,,0,,,,,,1
312,1339,B,Industrial,0,,,0,,,,,,1
313,1339,C,Industrial,0,,,0,,,,,,1
314,1339,D,Industrial,0,,,0,,,,,,1
315,1339,F,Industrial,0,,,0,,,,,,1
316,1339,G-H,Industrial,0,,,0,,,,,,1
317,1339,I-J,Industrial,0,,,0,,,,,,1
318,1340,A,Industrial,0,,,0,,,,,,1
319,1340,B,Industrial,0,,,0,,,,,,1
320,1340,C,Industrial,0,,,0,,,,,,1
321,1340,D,Industrial,0,,,0,,,,,,1
322,1341,A,Industrial,0,,,0,,,,,,1
323,1341,F,Industrial,0,,,0,,,,,,1
324,1341,G-H,Industrial,0,,,0,,,,,,1
325,1341,I,Industrial,0,,,0,,,,,,1
326,1341,A.,Industrial,0,,,0,,,,,,1
327,1342,A,Industrial,0,,,0,,,,,,1
328,1342,B,Industrial,0,,,0,,,,,,1
329,1343,A,Industrial,0,,,0,,,,,,1
330,1343,C,Industrial,0,,,0,,,,,,1
331,1343,D,Industrial,0,,,0,,,,,,1
332,1343,A.,Industrial,0,,,0,,,,,,1
333,1344,A1,Industrial,0,,,0,,,,,,1
334,1344,A2,Industrial,0,,,0,,,,,,1
335,1344,B,Industrial,0,,,0,,,,,,1
336,1344,C,Industrial,0,,,0,,,,,,1
337,1345,121,Industrial,0,,,0,,,,,,1
