property id,property code,is active,postal address,postal city,postal state,postal zip code,postal country,property name,acquire date,dispose date,inactive date,is commercial,is international,property last closed period,database id
7811,3oh00009,TRUE,,Columbus,OH,43228,US,1299 Boltonfield St,,,,TRUE,FALSE,6/1/25,1
3630,3pa00001,TRUE,,Norristown,PA,19401,US,9 S. Forrest Avenue,,,,TRUE,FALSE,6/1/25,1
4797,3pa00002,TRUE,,Bensalem,PA,19021,US,3100 Marwin Rd,,,,TRUE,FALSE,6/1/25,1
7040,3pa00003,TRUE,,Folcroft,PA,19032,US,801 Primos Avenue,,,,TRUE,FALSE,6/1/25,1
7737,3pa00004,TRUE,,Bristol,PA,19007,US,150 Rittenhouse Circle,,,,TRUE,FALSE,6/1/25,1
7794,3pa00005,TRUE,,Bristol,PA,19007,US,411 Sinclair Road,,,,TRUE,FALSE,6/1/25,1
7861,3pa00006,TRUE,,King of Prussia,PA,19406,US,260-280 Hansen Access Road,,,,TRUE,FALSE,6/1/25,1
3643,3tn00001,TRUE,,Memphis,TN,38118,US,3338-3352 Democrat,,,,TRUE,FALSE,6/1/25,1
3644,3tn00002,TRUE,,Memphis,TN,38118,US,3298 Democrat,,,,TRUE,FALSE,6/1/25,1
3645,3tn00003,TRUE,,Memphis,TN,38118,US,3276 Democrat,,,,TRUE,FALSE,6/1/25,1
3646,3tn00004,TRUE,,Memphis,TN,38118,US,3272 Democrat,,,,TRUE,FALSE,6/1/25,1
3647,3tn00005,TRUE,,Memphis,TN,38118,US,3262-3268 Democrat,,,,TRUE,FALSE,6/1/25,1
6563,3tn00006,TRUE,,Memphis,TN,38118,US,3696 Knight Road,,,,TRUE,FALSE,6/1/25,1
6565,3tn00007,TRUE,,Memphis,TN,38141,US,5465 E Raines,,,,TRUE,FALSE,6/1/25,1
6567,3tn00008,FALSE,,Memphis,TN,38115,US,5425 E Raines,,,12/26/24,TRUE,FALSE,6/1/25,1
6569,3tn00009,FALSE,,Memphis,TN,38141,US,5445 E Raines,,,12/26/24,TRUE,FALSE,6/1/25,1
6571,3tn00010,TRUE,,Memphis,TN,38115,US,4105 S Mendenhall Road,,,,TRUE,FALSE,6/1/25,1
6573,3tn00011,TRUE,,Memphis,TN,38118,US,4287 Delp Street,,,,TRUE,FALSE,6/1/25,1
6575,3tn00012,TRUE,,Memphis,TN,38118,US,3845 Crowfarn Drive,,,,TRUE,FALSE,6/1/25,1
6577,3tn00013,TRUE,,Memphis,TN,38118,US,4026-4080 Senator Street,,,,TRUE,FALSE,6/1/25,1
6579,3tn00014,TRUE,,Memphis,TN,38118,US,3755 Knight Arnold Road,,,,TRUE,FALSE,6/1/25,1
6593,3tn00015,TRUE,,Memphis,TN,38118,US,4519 Old Lamar Avenue,,,,TRUE,FALSE,6/1/25,1
6594,3tn00016,TRUE,,Memphis,TN,38118,US,4133-4175 Senator St,,,,TRUE,FALSE,6/1/25,1
6595,3tn00017,TRUE,,Memphis,TN,38118,US,4179-4189 Senator St,,,,TRUE,FALSE,6/1/25,1
6596,3tn00018,TRUE,,Memphis,TN,38118,US,4533 Old Lamar Ave,,,,TRUE,FALSE,6/1/25,1
3818,3tx00001,TRUE,,Dallas,TX,75228,US,12621-12623 International Pkwy,,,,TRUE,FALSE,6/1/25,1
3836,3tx00002,TRUE,,Grand Prairie,TX,75051,US,1801 S. GSW Parkway,,,,TRUE,FALSE,6/1/25,1
4170,3tx00003,TRUE,,Grand Prairie,TX,75050,US,2300 E Randol Mill Road,,,,TRUE,FALSE,6/1/25,1
4171,3tx00004,TRUE,,Irving,TX,75062,US,2220 Chemsearch Blvd,,,,TRUE,FALSE,6/1/25,1
4172,3tx00005,TRUE,,Coppell,TX,75019,US,1111 Northpoint Drive,,,,TRUE,FALSE,6/1/25,1
4173,3tx00006,TRUE,,Farmers Branch,TX,75234,US,1601 Valley View Lane,,,,TRUE,FALSE,6/1/25,1
4174,3tx00007,TRUE,,Richardson,TX,75081,US,1460 N Glenville Drive,,,,TRUE,FALSE,6/1/25,1
4175,3tx00008,TRUE,,Lewisville,TX,75057,US,1301 Ridgeview Drive,,,,TRUE,FALSE,6/1/25,1
4176,3tx00009,FALSE,,Coppell,TX,75019,US,631 S Royal Lane,,,1/30/25,TRUE,FALSE,6/1/25,1
5086,3tx00010,TRUE,,Garland,TX,75042,US,1501 Kings Road,,,,TRUE,FALSE,6/1/25,1
5087,3tx00011,TRUE,,Carrollton,TX,75006,US,1101 Venture Ct.,,,,TRUE,FALSE,6/1/25,1
5088,3tx00012,TRUE,,Farmers Branch,TX,75244,US,4525 McEwen Road,,,,TRUE,FALSE,6/1/25,1
5089,3tx00013,TRUE,,Farmers Branch,TX,75244,US,4450 Alpha Road,,,,TRUE,FALSE,6/1/25,1
6156,3tx00014,TRUE,,Dallas,TX,75238,US,10755 Sanden Drive,,,,TRUE,FALSE,6/1/25,1
6163,3tx00015,TRUE,,Richardson,TX,75081,US,1800-20 N Glenville Drive,,,,TRUE,FALSE,6/1/25,1
6610,3tx00016,TRUE,,Dallas,TX,75065,US,250 Swisher Rd,,,,TRUE,FALSE,6/1/25,1
6666,3tx00017,TRUE,,Fort Worth,TX,76119,US,2901 S. Cravens Rd.,,,,TRUE,FALSE,6/1/25,1
6667,3tx00018,TRUE,,Fort Worth,TX,76119,US,6151 Cowley Road,,,,TRUE,FALSE,6/1/25,1
6668,3tx00019,TRUE,,Fort Worth,TX,76119,US,2833 S Cravens Road,,,,TRUE,FALSE,6/1/25,1
7845,3tx00021,TRUE,,Irving,TX,75038,US,1720 Hurd Drive,,,,TRUE,FALSE,6/1/25,1
7846,3tx00022,TRUE,,Farmers Branch,TX,75244,US,14271 Welch Road,,,,TRUE,FALSE,6/1/25,1
7847,3tx00023,TRUE,,Farmers Branch,TX,75244,US,14281-14289 Welch Road,,,,TRUE,FALSE,6/1/25,1
6642,3txd1,TRUE,,,,,United States,FIVF-III-TXD1 LP,,,,FALSE,FALSE,6/1/25,1
7891,4d0001,TRUE,,,,,US,Debt - 1255 Archer Drive,,,,TRUE,FALSE,6/1/25,1
7952,4nj00001,TRUE,,Florham Park,NJ,7932,US,5 Vreeland Road,,,,TRUE,FALSE,6/1/25,1
7894,4tx00001,TRUE,,Garland,TX,75041,US,2405 S Shiloh Rd,,,,TRUE,FALSE,6/1/25,1
