record hmy,amendment hmy,tenant hmy,tenant code,property hmy,property code,unit hmy,unit name,dtleasefrom,dtleaseto,hoption,hproposal,binactive,dtinactive,hamendmentinactive,dtmovein,dtmoveout,snotes,dsqft,hmasterunit,bactive,hcondocontract,ipersontype,hcommmoveoutreason,hforeigndb,sextreference,hcopyfrom,ispastprimaryowner,hcommmlaoverride,trowversion,dtclose,dtaxestimate
69804,70246,19886,t0000958,1655,xnjcentr,2989,7055-2,45444,45473,,,,,70280,45444,45473,,9967,0,0,,,,,,,,0,AAAAAAEMjSI=,,
24384,24250,20277,t0000959,1387,xnj3001i,2248,D,44849,45596,,,,,109517,44849,45596,,3555,0,0,,,,,,,,0,AAAAAAGLJnw=,,
87709,87894,20277,t0000959,1387,xnj3001i,2248,D,45597,45596,,,,,109517,45597,45596,,3555,0,0,,,,,,,,0,AAAAAAGLJng=,,
109289,109517,20277,t0000959,1387,xnj3001i,2248,D,45597,45961,,,,,,45597,,,3555,0,0,,,,,,,,0,AAAAAAGLJpc=,,
24466,24336,20355,t0000960,913,gacre100,437,350,44866,45351,,,,,68571,44866,45351,,1076,0,0,,,0,,,,,0,AAAAAADcqms=,,
24500,24368,20379,t0000961,1681,xga4225,3015,107,44866,46691,,,,,,44866,,,2323,0,0,,,,,,,,0,AAAAAAB5nzc=,,
24590,24456,20460,t0000962,4076,3nj00005,16719,1425,44796,44837,,,,,24457,44796,44837,,44100,0,0,,,,,,,,0,AAAAAABjFrE=,,
25131,25003,20892,t0000963,4130,3il00006,17866,1221,42125,46752,,,,,,42125,,,119700,0,0,,,,,,,,0,AAAAAAB67rw=,,
25550,25409,21222,t0000965,1696,xga4601,18224,RAILYARD,44927,45139,,,,,115971,44927,45139,,0,0,0,,,0,,,,,0,AAAAAAGrhnU=,,
27089,26964,22477,t0000966,3670,xga1585r,12854,A,44896,48669,,,,,,44896,,,48000,0,0,,,,,,,,0,AAAAAAB2PIM=,,
27101,26975,22488,t0000967,1372,xtndelp1,541,4318,44927,46022,,,,,,44927,,,25137,0,0,,,,,,,,0,AAAAAAByRt8=,,
28143,28039,23318,t0000969,4192,3il00007,20301,800,43997,45138,,,,,40978,43997,45138,,9250,0,0,,,,,,,,0,AAAAAACTn6o=,,
40681,40978,23318,t0000969,4192,3il00007,20301,800,45139,46265,,,,,,45139,,,9250,0,0,,,,,,,,0,AAAAAACTn88=,,
28144,28040,23319,t0000970,4192,3il00007,20302,802,44044,45169,,,,,43908,44044,45169,,9250,0,0,,,,,,,,0,AAAAAACZgLE=,,
43378,43908,23319,t0000970,4192,3il00007,20302,802,45170,46295,,,,,,45170,,,9250,0,0,,,,,,,,0,AAAAAACZgNQ=,,
28145,28041,23320,t0000971,4192,3il00007,20303,810,41000,46568,,,,,,41000,,,9250,0,0,,,,,,,,0,AAAAAAB0XM0=,,
28148,28042,23323,t0000972,4176,3tx00009,20328,100,43350,45687,,,,,116005,43350,45687,,40000,0,0,,,,,,,,0,AAAAAAHBcD8=,,
28149,28043,23324,t0000973,4176,3tx00009,20329,200,42736,45687,,,,,116006,42736,45687,,11360,0,0,,,,,,,,0,AAAAAAHBcBU=,,
28173,28059,23340,t0000974,4172,3tx00005,20349,1111,44805,49187,,,,,,44805,,,126596,0,0,,,,,,,,0,AAAAAAB2fqc=,,
28980,28891,24009,t0000975,4175,3tx00008,20988,150,41518,46721,,,,,,41518,,,28776,0,0,,,,,,,,0,AAAAAACK7dM=,,
28981,28892,24010,t0000976,4175,3tx00008,20989,100,39873,46904,,,,,,39873,,,86683,0,0,,,,,,,,0,AAAAAACK7Vw=,,
28982,28893,24011,t0000977,4174,3tx00007,20990,1460,42644,45199,,,,,47189,42644,45199,,121068,0,0,,,,,,,,0,AAAAAAClCyc=,,
46650,47189,24011,t0000977,4174,3tx00007,20990,1460,45200,45199,,,,,47182,45200,45199,,121068,0,0,,,,,,,,0,AAAAAAG5/B0=,,
46638,47182,24011,t0000977,4174,3tx00007,20990,1460,45200,45747,,,,,109542,45200,45747,,121068,0,0,,,,,,,,0,AAAAAAG8J6A=,,
28983,28894,24012,t0000978,4173,3tx00006,20991,1601,41275,45291,,,,,34314,41275,45291,,191887,0,0,,,,,,,,0,AAAAAAB7Fq4=,,
34265,34314,24012,t0000978,4173,3tx00006,20991,1601,45292,46752,,,,,,45292,,,191887,0,0,,,,,,,,0,AAAAAAB66xk=,,
28984,28895,24013,t0000979,4171,3tx00004,20992,150-200,42705,46446,,,,,,42705,,,77259,0,0,,,,,,,,0,AAAAAADURis=,,
28985,28896,24014,t0000980,4171,3tx00004,20993,100,44835,45609,,,,,94834,44835,45609,,38667,0,0,,,,,,,,0,AAAAAAFhC9s=,,
29161,29076,24146,t0000981,4170,3tx00003,21108,100,41005,46599,,,,,,41005,,,50888,0,0,,,,,,,,0,AAAAAAB2gcg=,,
29464,29377,24349,t0000982,4192,3il00007,20304,812,44921,46783,,,,,,44921,,,9250,0,0,,,,,,,,0,AAAAAABzCKM=,,
29836,29753,24625,t0000985,4079,3md00003,16794,100,44896,46783,,,,,,44896,,,30333,0,0,,,,,,,,0,AAAAAAB2q8k=,,
30063,29977,24792,t0000986,3799,3il00004,15305,3380,44958,47634,,,,,,44958,,,46156,0,0,,,,,,,,0,AAAAAABm+/Y=,,
32731,32768,26634,t0000987,4115,3md00004,23358,7122,42863,46660,,,,,,42863,,,6700,0,0,,,,,,,,0,AAAAAADej5o=,,
32732,32769,26756,t0000988,4115,3md00004,23359,7120,42979,45230,,,,,59590,42979,45230,,9562,0,0,,,,,,,,0,AAAAAAGMFlA=,,
